,Average Earnings
2107,63.1
2108,133.75
2109,98.79
2110,116.73
2111,111.3
2112,98.33
2113,97.33
2114,176.67
2115,176.67
2116,132.44
2117,98.33
2118,216.67
2119,65.91
2120,175.0
2121,525.0
2122,199.0
2123,265.0
2124,44.64
2125,30.62
2126,193.75
2127,57.22
2128,82.14
2129,129.27
2130,104.0
2131,145.5
2132,62.22
2133,386.67
2134,42.93
2135,64.38
2136,39.62
2137,13.56
2138,171.0
2139,46.55
2140,242.86
2141,273.82
2142,302.0
2143,46.36
2144,170.0
2145,510.0
2146,61.73
2147,221.38
2148,247.94
2149,92.5
2150,141.59
2151,225.23
2152,168.67
2153,29.71
2154,222.14
2155,41.71
2156,67.47
2157,167.0
2158,500.0
2159,909.09
2160,270.0
2161,500.0
2162,500.0
2163,115.0
2164,500.0
2165,69.69
2166,500.0
2167,250.0
2168,250.0
2169,250.0
2170,65.47
2171,83.55
2172,157.89
2173,500.0
2174,500.0
2175,166.67
2176,33.33
2177,150.0
2178,168.5
2179,269.23
2180,166.67
2181,196.67
2182,500.0
2183,500.0
2184,250.0
2185,250.0
2186,167.11
2187,150.2
2188,119.17
2189,88.25
2190,125.0
2191,166.67
2192,500.0
2193,88.76
2194,196.86
2195,500.0
2196,500.0
2197,178.57
2198,78.43
2199,29.52
2200,70.17
2201,287.39
2202,156.36
2203,47.61
2204,253.0
2205,45.09
2206,90.15
2207,25.15
2208,70.71
2209,73.01
2210,70.29
2211,70.29
2212,246.0
2213,163.67
2214,245.0
2215,52.81
2216,355.56
2217,320.8
2218,490.0
2219,163.06
2220,74.07
2221,41.48
2222,122.25
2223,24.19
2224,37.67
2225,40.42
2226,115.14
2227,136.11
2228,64.44
2229,86.67
2230,120.0
2231,866.36
2232,37.86
2233,68.89
2234,220.67
2235,95.6
2236,80.33
2237,22.6
2238,53.73
2239,81.51
2240,89.72
2241,30.57
2242,475.0
2243,113.33
2244,43.18
2245,65.4
2246,236.5
2247,65.47
2248,130.56
2249,209.0
2250,499.5
2251,109.0
2252,57.88
2253,124.29
2254,92.35
2255,78.33
2256,330.13
2257,112.69
2258,98.16
2259,183.0
2260,27.25
2261,44.71
2262,34.28
2263,153.0
2264,66.43
2265,71.62
2266,1173.5
2267,152.33
2268,154.33
2269,56.92
2270,461.0
2271,20.95
2272,205.83
2273,69.38
2274,42.95
2275,153.33
2276,35.38
2277,91.8
2278,456.0
2279,240.71
2280,65.0
2281,255.32
2282,234.7
2283,97.02
2284,303.77
2285,179.23
2286,112.5
2287,150.0
2288,121.89
2289,62.5
2290,135.38
2291,450.0
2292,225.0
2293,152.54
2294,450.0
2295,450.0
2296,450.0
2297,319.22
2298,150.0
2299,521.85
2300,125.0
2301,149.41
2302,189.72
2303,194.5
2304,72.57
2305,107.27
2306,73.5
2307,220.5
2308,66.43
2309,125.0
2310,143.18
2311,126.5
2312,62.71
2313,439.0
2314,48.56
2315,437.0
2316,108.75
2317,54.38
2318,43.5
2319,108.5
2320,48.22
2321,86.43
2322,71.67
2323,59.76
2324,115.79
2325,53.75
2326,128.15
2327,63.53
2328,50.91
2329,47.67
2330,429.0
2331,85.6
2332,110.42
2333,28.92
2334,85.0
2335,130.95
2336,212.5
2337,97.11
2338,63.94
2339,424.0
2340,47.75
2341,1054.95
2342,91.71
2343,422.0
2344,105.5
2345,52.75
2346,70.33
2347,101.34
2348,145.0
2349,509.8
2350,225.2
2351,140.0
2352,74.29
2353,420.0
2354,189.33
2355,95.0
2356,127.45
2357,155.56
2358,107.91
2359,43.69
2360,70.0
2361,136.67
2362,47.5
2363,205.0
2364,58.57
2365,13.38
2366,82.0
2367,61.75
2368,51.0
2369,232.97
2370,156.21
2371,203.5
2372,57.86
2373,33.75
2374,136.0
2375,50.62
2376,141.61
2377,57.43
2378,696.67
2379,66.67
2380,66.87
2381,97.17
2382,200.0
2383,255.32
2384,116.25
2385,121.57
2386,100.0
2387,66.67
2388,200.0
2389,245.74
2390,400.0
2391,100.0
2392,143.0
2393,200.0
2394,60.04
2395,175.44
2396,200.0
2397,400.0
2398,200.0
2399,1200.0
2400,97.75
2401,65.56
2402,166.67
2403,133.33
2404,233.33
2405,129.8
2406,83.33
2407,49.62
2408,80.39
2409,100.66
2410,50.74
2411,49.38
2412,395.0
2413,248.33
2414,77.76
2415,1189.19
2416,131.0
2417,59.31
2418,175.73
2419,243.75
2420,65.0
2421,48.75
2422,195.0
2423,318.18
2424,39.21
2425,45.56
2426,44.0
2427,534.44
2428,195.0
2429,59.67
2430,389.0
2431,35.84
2432,79.39
2433,197.37
2434,330.58
2435,39.29
2436,192.0
2437,46.43
2438,95.75
2439,47.75
2440,191.0
2441,381.0
2442,40.86
2443,101.0
2444,207.5
2445,99.0
2446,53.87
2447,106.08
2448,41.0
2449,31.46
2450,125.33
2451,125.0
2452,33.33
2453,63.12
2454,123.75
2455,37.5
2456,36.84
2457,150.56
2458,187.5
2459,47.22
2460,135.78
2461,28.68
2462,55.5
2463,41.33
2464,37.1
2465,58.75
2466,185.0
2467,297.5
2468,123.33
2469,370.0
2470,92.5
2471,92.25
2472,82.33
2473,91.75
2474,183.5
2475,183.5
2476,367.0
2477,122.0
2478,73.0
2479,26.5
2480,45.5
2481,81.97
2482,53.0
2483,120.0
2484,89.21
2485,177.5
2486,360.0
2487,120.0
2488,107.86
2489,229.81
2490,298.12
2491,29.47
2492,69.27
2493,120.0
2494,83.85
2495,205.0
2496,59.83
2497,44.88
2498,51.0
2499,119.0
2500,58.56
2501,245.61
2502,77.06
2503,32.27
2504,28.38
2505,352.0
2506,149.25
2507,79.46
2508,70.2
2509,87.75
2510,174.7
2511,70.2
2512,110.1
2513,175.0
2514,87.5
2515,96.25
2516,137.75
2517,87.1
2518,50.0
2519,350.0
2520,116.67
2521,292.82
2522,116.67
2523,70.0
2524,116.67
2525,232.0
2526,839.08
2527,87.5
2528,70.0
2529,101.0
2530,175.0
2531,175.0
2532,87.5
2533,350.0
2534,350.0
2535,350.0
2536,175.0
2537,50.0
2538,471.43
2539,85.71
2540,140.57
2541,200.0
2542,87.5
2543,175.0
2544,116.67
2545,175.0
2546,350.0
2547,109.07
2548,401.33
2549,68.3
2550,175.0
2551,81.87
2552,284.54
2553,175.0
2554,145.73
2555,69.4
2556,346.0
2557,345.0
2558,99.71
2559,363.64
2560,135.62
2561,140.0
2562,64.29
2563,193.63
2564,113.33
2565,121.74
2566,113.33
2567,169.5
2568,42.38
2569,50.93
2570,327.54
2571,112.33
2572,336.0
2573,58.8
2574,335.0
2575,62.14
2576,34.08
2577,113.33
2578,42.67
2579,112.42
2580,119.39
2581,110.0
2582,502.79
2583,110.0
2584,144.29
2585,47.37
2586,78.18
2587,162.5
2588,108.33
2589,39.25
2590,81.25
2591,81.25
2592,176.45
2593,177.67
2594,222.5
2595,59.24
2596,65.0
2597,81.25
2598,157.36
2599,269.5
2600,34.91
2601,192.2
2602,53.67
2603,87.75
2604,80.5
2605,22.95
2606,64.4
2607,22.93
2608,276.92
2609,83.92
2610,320.0
2611,336.25
2612,160.0
2613,65.43
2614,72.59
2615,35.5
2616,53.61
2617,101.0
2618,106.0
2619,28.91
2620,39.8
2621,105.67
2622,105.67
2623,85.46
2624,424.66
2625,36.18
2626,233.0
2627,78.75
2628,63.0
2629,37.5
2630,58.14
2631,119.37
2632,39.38
2633,78.25
2634,313.0
2635,23.92
2636,77.5
2637,103.33
2638,349.69
2639,36.72
2640,38.75
2641,52.0
2642,53.22
2643,126.49
2644,44.29
2645,33.52
2646,154.5
2647,62.88
2648,50.43
2649,307.0
2650,307.0
2651,153.5
2652,101.67
2653,50.83
2654,311.88
2655,45.91
2656,31.0
2657,50.83
2658,15.24
2659,30.3
2660,22.2
2661,100.67
2662,143.89
2663,300.0
2664,160.0
2665,1148.0
2666,257.29
2667,300.0
2668,300.0
2669,300.0
2670,150.0
2671,300.0
2672,304.95
2673,96.25
2674,300.0
2675,300.0
2676,243.67
2677,300.0
2678,300.0
2679,300.0
2680,375.0
2681,283.13
2682,164.0
2683,58.1
2684,96.79
2685,100.0
2686,75.0
2687,99.0
2688,300.0
2689,143.0
2690,180.67
2691,180.67
2692,300.0
2693,300.0
2694,300.0
2695,60.0
2696,188.89
2697,30.0
2698,185.56
2699,205.0
2700,412.5
2701,134.02
2702,496.43
2703,167.86
2704,50.0
2705,300.0
2706,137.5
2707,164.53
2708,1401.52
2709,450.0
2710,126.23
2711,100.0
2712,116.67
2713,112.6
2714,61.45
2715,183.0
2716,106.33
2717,230.81
2718,82.55
2719,220.59
2720,59.6
2721,37.34
2722,32.89
2723,62.38
2724,59.0
2725,294.0
2726,293.0
2727,100.71
2728,72.5
2729,306.6
2730,98.0
2731,158.75
2732,166.17
2733,276.56
2734,290.0
2735,27.79
2736,290.0
2737,32.22
2738,102.67
2739,57.8
2740,57.8
2741,49.91
2742,288.0
2743,53.67
2744,347.5
2745,49.91
2746,146.12
2747,25.91
2748,40.0
2749,71.25
2750,49.11
2751,95.0
2752,94.33
2753,62.54
2754,189.66
2755,31.22
2756,140.0
2757,140.0
2758,56.0
2759,140.0
2760,93.33
2761,44.15
2762,50.18
2763,55.8
2764,189.66
2765,89.6
2766,31.65
2767,46.71
2768,131.14
2769,69.25
2770,33.0
2771,206.44
2772,46.0
2773,14.15
2774,68.75
2775,137.5
2776,83.93
2777,55.0
2778,39.29
2779,74.17
2780,135.83
2781,91.67
2782,137.5
2783,134.18
2784,47.5
2785,323.94
2786,91.67
2787,136.5
2788,136.0
2789,136.0
2790,78.4
2791,54.2
2792,135.0
2793,38.57
2794,135.0
2795,54.0
2796,37.18
2797,135.0
2798,120.37
2799,303.03
2800,67.25
2801,24.45
2802,53.4
2803,83.49
2804,44.17
2805,66.25
2806,66.25
2807,38.24
2808,131.5
2809,262.0
2810,111.8
2811,551.72
2812,94.0
2813,20.08
2814,26.1
2815,80.39
2816,234.0
2817,59.29
2818,123.0
2819,203.27
2820,151.67
2821,86.67
2822,130.0
2823,130.0
2824,50.0
2825,51.67
2826,272.73
2827,59.23
2828,230.0
2829,130.0
2830,88.22
2831,137.45
2832,39.86
2833,66.5
2834,83.64
2835,256.0
2836,256.0
2837,69.3
2838,62.2
2839,63.75
2840,87.72
2841,255.0
2842,56.05
2843,52.23
2844,99.17
2845,250.0
2846,28.22
2847,108.39
2848,191.1
2849,106.5
2850,127.0
2851,126.0
2852,63.0
2853,41.83
2854,84.02
2855,736.36
2856,155.92
2857,140.0
2858,250.0
2859,125.0
2860,250.0
2861,515.15
2862,125.0
2863,85.56
2864,250.0
2865,125.0
2866,82.14
2867,156.52
2868,19.23
2869,250.0
2870,83.33
2871,250.0
2872,250.0
2873,83.33
2874,229.17
2875,99.0
2876,250.0
2877,62.5
2878,125.0
2879,213.75
2880,126.25
2881,250.0
2882,103.5
2883,250.0
2884,125.0
2885,250.0
2886,250.0
2887,250.0
2888,250.0
2889,250.0
2890,125.0
2891,91.67
2892,183.33
2893,250.0
2894,83.33
2895,108.0
2896,239.23
2897,107.5
2898,125.0
2899,250.0
2900,250.0
2901,33.67
2902,22.37
2903,72.0
2904,33.8
2905,49.26
2906,37.95
2907,62.25
2908,45.36
2909,82.67
2910,17.69
2911,91.55
2912,46.0
2913,114.33
2914,56.36
2915,56.83
2916,123.0
2917,123.0
2918,111.5
2919,245.0
2920,123.75
2921,116.71
2922,61.25
2923,67.67
2924,81.33
2925,244.0
2926,94.0
2927,82.6
2928,141.59
2929,60.0
2930,39.51
2931,48.0
2932,37.62
2933,254.23
2934,580.0
2935,60.0
2936,240.0
2937,80.0
2938,240.0
2939,120.0
2940,80.0
2941,60.0
2942,123.33
2943,80.0
2944,39.83
2945,59.2
2946,47.4
2947,785.71
2948,79.0
2949,71.75
2950,42.92
2951,78.33
2952,28.16
2953,102.14
2954,54.09
2955,23.53
2956,235.0
2957,181.82
2958,39.0
2959,33.43
2960,46.6
2961,188.41
2962,49.5
2963,231.0
2964,115.75
2965,80.0
2966,38.33
2967,115.0
2968,95.0
2969,188.5
2970,115.0
2971,46.67
2972,68.14
2973,98.27
2974,112.66
2975,42.94
2976,230.0
2977,14.75
2978,33.0
2979,23.97
2980,137.0
2981,79.5
2982,226.0
2983,96.17
2984,225.0
2985,257.14
2986,45.0
2987,50.62
2988,56.25
2989,37.5
2990,225.0
2991,112.5
2992,174.47
2993,54.17
2994,112.5
2995,112.5
2996,75.0
2997,75.0
2998,75.0
2999,62.5
3000,45.0
3001,225.0
3002,71.0
3003,112.5
3004,74.67
3005,55.25
3006,44.0
3007,220.0
3008,73.33
3009,220.0
3010,259.04
3011,173.0
3012,55.0
3013,220.0
3014,73.33
3015,220.0
3016,69.75
3017,73.33
3018,73.33
3019,36.67
3020,73.33
3021,20.64
3022,30.12
3023,29.25
3024,109.0
3025,15.5
3026,197.73
3027,43.4
3028,54.0
3029,216.0
3030,266.6
3031,30.71
3032,54.0
3033,155.72
3034,144.87
3035,71.67
3036,71.67
3037,35.83
3038,42.6
3039,105.5
3040,54.2
3041,65.0
3042,186.67
3043,42.0
3044,70.0
3045,328.5
3046,38.29
3047,40.0
3048,88.9
3049,164.12
3050,60.19
3051,70.0
3052,52.5
3053,52.5
3054,210.0
3055,105.0
3056,35.0
3057,208.0
3058,28.0
3059,38.93
3060,205.0
3061,205.0
3062,266.67
3063,205.0
3064,34.74
3065,180.18
3066,205.0
3067,61.0
3068,70.4
3069,78.81
3070,47.0
3071,207.79
3072,204.0
3073,54.59
3074,19.14
3075,60.67
3076,465.12
3077,113.7
3078,137.5
3079,69.22
3080,200.0
3081,200.0
3082,200.0
3083,200.0
3084,100.0
3085,232.14
3086,183.23
3087,200.0
3088,100.0
3089,166.67
3090,100.0
3091,200.0
3092,200.0
3093,145.83
3094,200.0
3095,65.0
3096,100.0
3097,172.5
3098,64.54
3099,100.0
3100,130.74
3101,50.0
3102,200.0
3103,236.99
3104,259.5
3105,200.0
3106,200.0
3107,200.0
3108,70.86
3109,200.0
3110,200.0
3111,200.0
3112,33.33
3113,100.0
3114,100.0
3115,66.67
3116,200.0
3117,200.0
3118,66.67
3119,200.0
3120,50.0
3121,200.0
3122,148.67
3123,238.1
3124,107.0
3125,152.0
3126,146.93
3127,100.0
3128,175.0
3129,81.43
3130,200.0
3131,64.75
3132,66.67
3133,40.0
3134,100.0
3135,108.33
3136,100.0
3137,200.0
3138,106.47
3139,160.0
3140,250.0
3141,144.0
3142,108.33
3143,200.0
3144,56.33
3145,125.0
3146,93.75
3147,200.0
3148,162.5
3149,144.8
3150,66.51
3151,66.0
3152,31.0
3153,97.5
3154,41.97
3155,65.0
3156,64.67
3157,53.9
3158,22.8
3159,146.57
3160,3975.61
3161,125.5
3162,126.22
3163,95.0
3164,108.0
3165,78.04
3166,40.67
3167,31.17
3168,171.5
3169,31.0
3170,279.79
3171,46.09
3172,112.71
3173,36.8
3174,69.4
3175,183.0
3176,91.5
3177,70.5
3178,669.64
3179,64.96
3180,230.1
3181,71.0
3182,40.2
3183,90.5
3184,45.25
3185,91.39
3186,33.0
3187,167.98
3188,90.0
3189,60.0
3190,90.0
3191,153.33
3192,88.75
3193,482.5
3194,45.0
3195,180.0
3196,51.92
3197,45.0
3198,180.0
3199,180.0
3200,80.79
3201,149.25
3202,387.88
3203,180.0
3204,90.0
3205,25.7
3206,45.0
3207,90.0
3208,180.0
3209,180.0
3210,36.0
3211,88.52
3212,37.44
3213,35.8
3214,57.88
3215,30.88
3216,53.92
3217,59.0
3218,88.5
3219,169.59
3220,289.47
3221,62.5
3222,175.0
3223,87.5
3224,135.0
3225,188.0
3226,106.8
3227,175.0
3228,175.0
3229,157.86
3230,131.0
3231,58.33
3232,175.0
3233,88.75
3234,44.95
3235,33.86
3236,86.5
3237,39.41
3238,57.67
3239,159.0
3240,54.91
3241,7.12
3242,34.2
3243,177.25
3244,88.5
3245,85.0
3246,66.0
3247,48.67
3248,170.0
3249,56.67
3250,73.33
3251,170.0
3252,56.67
3253,56.67
3254,85.0
3255,235.0
3256,56.67
3257,170.0
3258,28.33
3259,60.0
3260,41.75
3261,41.5
3262,166.0
3263,82.5
3264,297.87
3265,33.0
3266,143.0
3267,79.23
3268,54.75
3269,41.25
3270,82.5
3271,127.8
3272,20.62
3273,52.97
3274,21.51
3275,23.29
3276,81.6
3277,40.7
3278,162.5
3279,80.5
3280,32.2
3281,53.67
3282,111.32
3283,26.67
3284,10.0
3285,20.0
3286,73.83
3287,78.1
3288,123.49
3289,75.0
3290,146.67
3291,125.0
3292,26.67
3293,160.0
3294,160.0
3295,67.0
3296,160.0
3297,164.65
3298,160.0
3299,82.0
3300,110.0
3301,39.0
3302,196.15
3303,75.29
3304,104.4
3305,52.33
3306,78.5
3307,902.44
3308,266.0
3309,67.48
3310,64.33
3311,39.0
3312,52.0
3313,51.67
3314,118.22
3315,77.5
3316,77.5
3317,31.06
3318,82.0
3319,58.57
3320,31.0
3321,77.5
3322,240.83
3323,51.67
3324,179.13
3325,78.33
3326,58.22
3327,205.36
3328,51.33
3329,191.51
3330,153.0
3331,153.0
3332,157.0
3333,89.0
3334,119.0
3335,76.5
3336,138.29
3337,208.2
3338,153.0
3339,153.0
3340,153.0
3341,9.5
3342,138.33
3343,34.34
3344,76.0
3345,50.67
3346,10.33
3347,75.5
3348,83.33
3349,75.0
3350,103.33
3351,267.42
3352,86.88
3353,91.67
3354,292.0
3355,150.0
3356,49.16
3357,150.0
3358,75.0
3359,68.99
3360,37.5
3361,150.0
3362,150.0
3363,209.2
3364,150.0
3365,37.5
3366,75.0
3367,150.0
3368,50.0
3369,181.61
3370,150.0
3371,175.0
3372,75.0
3373,150.0
3374,48.04
3375,75.0
3376,75.0
3377,203.33
3378,150.0
3379,116.56
3380,172.5
3381,163.64
3382,150.0
3383,150.0
3384,90.91
3385,150.0
3386,75.0
3387,150.0
3388,225.0
3389,139.29
3390,147.94
3391,75.0
3392,150.0
3393,150.0
3394,150.0
3395,50.0
3396,150.0
3397,75.0
3398,75.0
3399,75.0
3400,21.43
3401,150.0
3402,157.73
3403,100.0
3404,150.0
3405,25.0
3406,150.0
3407,75.0
3408,50.0
3409,75.0
3410,150.0
3411,75.0
3412,150.0
3413,75.0
3414,150.0
3415,150.0
3416,133.33
3417,150.0
3418,150.0
3419,126.67
3420,75.0
3421,25.0
3422,184.8
3423,50.0
3424,150.0
3425,239.13
3426,110.54
3427,150.0
3428,125.0
3429,150.0
3430,150.0
3431,78.57
3432,149.0
3433,35.5
3434,40.01
3435,49.67
3436,149.0
3437,13.45
3438,49.33
3439,148.0
3440,73.0
3441,76.82
3442,18.12
3443,50.74
3444,36.25
3445,48.33
3446,60.08
3447,26.36
3448,36.25
3449,36.25
3450,64.91
3451,41.87
3452,61.75
3453,56.67
3454,36.0
3455,72.0
3456,23.67
3457,16.29
3458,35.33
3459,70.0
3460,132.5
3461,50.0
3462,222.22
3463,85.57
3464,71.56
3465,46.67
3466,70.0
3467,140.0
3468,46.67
3469,35.0
3470,100.77
3471,118.0
3472,88.0
3473,70.0
3474,140.0
3475,168.0
3476,70.0
3477,177.14
3478,149.07
3479,30.78
3480,46.0
3481,62.29
3482,215.8
3483,319.15
3484,15.11
3485,58.77
3486,45.0
3487,45.0
3488,135.0
3489,51.43
3490,67.5
3491,45.0
3492,53.0
3493,58.31
3494,85.68
3495,83.6
3496,44.67
3497,133.0
3498,33.25
3499,12.62
3500,33.25
3501,338.94
3502,89.21
3503,43.67
3504,26.2
3505,131.0
3506,65.5
3507,29.54
3508,21.83
3509,65.0
3510,43.57
3511,43.33
3512,65.0
3513,32.5
3514,11.82
3515,45.0
3516,65.0
3517,65.0
3518,282.61
3519,130.0
3520,50.71
3521,205.88
3522,43.33
3523,65.0
3524,130.0
3525,88.3
3526,40.0
3527,161.67
3528,65.0
3529,63.75
3530,29.89
3531,139.5
3532,25.8
3533,32.0
3534,117.67
3535,64.0
3536,127.0
3537,80.26
3538,58.0
3539,31.5
3540,134.0
3541,126.0
3542,114.0
3543,125.0
3544,85.0
3545,82.0
3546,125.0
3547,498.2
3548,263.75
3549,125.0
3550,25.0
3551,39.41
3552,125.0
3553,41.67
3554,62.5
3555,62.5
3556,85.0
3557,62.5
3558,24.29
3559,62.5
3560,125.0
3561,55.77
3562,62.5
3563,62.5
3564,23.0
3565,125.0
3566,125.0
3567,125.0
3568,125.0
3569,62.5
3570,125.0
3571,125.0
3572,277.78
3573,99.25
3574,125.0
3575,262.5
3576,31.06
3577,207.59
3578,25.0
3579,17.71
3580,62.0
3581,62.0
3582,34.36
3583,61.5
3584,63.0
3585,24.6
3586,61.5
3587,30.5
3588,30.5
3589,40.33
3590,120.0
3591,93.33
3592,40.0
3593,63.16
3594,57.0
3595,49.56
3596,40.0
3597,30.86
3598,46.83
3599,120.0
3600,120.0
3601,40.0
3602,40.0
3603,120.0
3604,120.0
3605,72.5
3606,40.0
3607,120.0
3608,120.0
3609,53.33
3610,120.0
3611,40.0
3612,120.0
3613,60.0
3614,120.0
3615,60.0
3616,120.0
3617,28.57
3618,120.0
3619,120.0
3620,120.0
3621,142.4
3622,40.0
3623,66.33
3624,60.0
3625,120.0
3626,20.0
3627,43.33
3628,120.0
3629,40.0
3630,146.44
3631,43.89
3632,285.71
3633,111.67
3634,120.0
3635,0.0
3636,59.5
3637,59.5
3638,23.8
3639,65.22
3640,20.2
3641,35.75
3642,58.5
3643,50.5
3644,22.29
3645,14.5
3646,58.0
3647,38.33
3648,115.0
3649,38.33
3650,57.5
3651,58.75
3652,57.5
3653,115.0
3654,85.0
3655,57.5
3656,115.0
3657,23.0
3658,30.71
3659,12.67
3660,28.5
3661,57.0
3662,37.67
3663,88.0
3664,112.0
3665,37.33
3666,56.0
3667,31.22
3668,22.4
3669,28.4
3670,597.7
3671,55.0
3672,55.0
3673,45.83
3674,60.0
3675,15.88
3676,110.0
3677,27.5
3678,36.67
3679,110.0
3680,55.0
3681,14.46
3682,135.0
3683,261.9
3684,18.17
3685,54.5
3686,839.73
3687,27.25
3688,27.25
3689,36.0
3690,67.58
3691,58.43
3692,107.0
3693,35.67
3694,106.0
3695,105.0
3696,35.0
3697,26.25
3698,35.0
3699,154.22
3700,35.0
3701,52.5
3702,105.0
3703,52.5
3704,32.0
3705,11.67
3706,27.5
3707,27.5
3708,31.03
3709,23.88
3710,32.5
3711,29.0
3712,104.0
3713,102.8
3714,38.2
3715,25.75
3716,25.5
3717,38.86
3718,52.43
3719,102.0
3720,14.57
3721,102.0
3722,20.4
3723,198.59
3724,51.0
3725,63.5
3726,102.0
3727,50.5
3728,88.12
3729,50.5
3730,100.0
3731,100.0
3732,100.0
3733,100.0
3734,164.0
3735,142.86
3736,70.18
3737,100.0
3738,50.0
3739,100.0
3740,50.0
3741,33.33
3742,50.0
3743,100.0
3744,50.0
3745,100.0
3746,100.0
3747,100.0
3748,100.0
3749,100.0
3750,100.0
3751,100.0
3752,100.0
3753,33.33
3754,50.0
3755,98.33
3756,175.0
3757,100.0
3758,100.0
3759,100.0
3760,50.0
3761,100.0
3762,50.0
3763,45.83
3764,100.0
3765,100.0
3766,50.0
3767,100.0
3768,100.0
3769,121.15
3770,33.33
3771,50.42
3772,57.44
3773,37.0
3774,100.0
3775,75.0
3776,74.5
3777,41.67
3778,100.0
3779,212.5
3780,100.0
3781,100.0
3782,54.88
3783,133.33
3784,100.0
3785,200.0
3786,100.0
3787,42.0
3788,100.0
3789,116.64
3790,100.0
3791,100.0
3792,100.0
3793,100.0
3794,100.0
3795,100.0
3796,100.0
3797,41.67
3798,66.67
3799,366.67
3800,100.0
3801,100.0
3802,83.22
3803,105.5
3804,100.0
3805,100.0
3806,53.67
3807,70.0
3808,100.0
3809,100.0
3810,100.0
3811,100.0
3812,50.0
3813,100.0
3814,100.0
3815,50.0
3816,100.0
3817,100.0
3818,100.0
3819,100.0
3820,70.0
3821,100.0
3822,187.42
3823,133.67
3824,100.0
3825,100.0
3826,50.0
3827,100.0
3828,58.57
3829,100.0
3830,100.0
3831,46.71
3832,60.88
3833,14.29
3834,100.0
3835,100.0
3836,170.51
3837,64.75
3838,45.16
3839,60.32
3840,102.94
3841,121.25
3842,74.55
3843,100.0
3844,100.0
3845,100.0
3846,100.0
3847,50.0
3848,80.0
3849,100.0
3850,100.0
3851,66.33
3852,49.67
3853,30.6
3854,33.0
3855,32.67
3856,5.16
3857,32.33
3858,40.67
3859,39.0
3860,32.0
3861,48.0
3862,48.0
3863,31.67
3864,82.5
3865,65.83
3866,102.12
3867,80.0
3868,67.29
3869,23.75
3870,47.5
3871,31.33
3872,154.93
3873,92.0
3874,60.0
3875,23.0
3876,92.0
3877,40.25
3878,92.0
3879,9.14
3880,39.4
3881,42.14
3882,56.27
3883,45.0
3884,90.0
3885,30.0
3886,28.25
3887,1240.0
3888,90.0
3889,83.04
3890,30.0
3891,45.0
3892,90.0
3893,46.67
3894,45.0
3895,45.0
3896,38.29
3897,90.0
3898,120.0
3899,90.0
3900,37.25
3901,73.0
3902,45.0
3903,45.0
3904,90.0
3905,90.0
3906,59.98
3907,116.73
3908,45.0
3909,354.84
3910,98.43
3911,70.0
3912,45.0
3913,44.5
3914,88.0
3915,89.72
3916,44.0
3917,44.0
3918,22.0
3919,89.33
3920,29.0
3921,14.33
3922,28.67
3923,86.0
3924,43.0
3925,28.33
3926,36.25
3927,51.25
3928,149.56
3929,227.74
3930,21.25
3931,42.5
3932,63.33
3933,26.86
3934,42.0
3935,84.0
3936,84.0
3937,60.44
3938,82.0
3939,112.17
3940,82.0
3941,167.18
3942,27.5
3943,40.5
3944,25.8
3945,46.5
3946,64.17
3947,86.67
3948,84.0
3949,45.92
3950,40.0
3951,20.0
3952,40.0
3953,80.0
3954,76.11
3955,42.0
3956,146.67
3957,80.0
3958,80.0
3959,78.18
3960,40.0
3961,40.0
3962,59.17
3963,33.5
3964,40.0
3965,40.0
3966,73.08
3967,80.0
3968,3.81
3969,128.83
3970,40.0
3971,40.0
3972,80.0
3973,115.0
3974,80.0
3975,57.27
3976,65.0
3977,40.0
3978,80.0
3979,80.0
3980,40.0
3981,80.0
3982,80.0
3983,80.0
3984,75.6
3985,48.57
3986,143.53
3987,139.13
3988,34.67
3989,79.0
3990,26.33
3991,10.39
3992,26.0
3993,78.0
3994,158.43
3995,19.25
3996,13.05
3997,76.0
3998,50.0
3999,32.0
4000,25.33
4001,75.0
4002,75.0
4003,25.0
4004,37.5
4005,75.0
4006,41.25
4007,37.5
4008,37.5
4009,75.0
4010,48.75
4011,33.67
4012,453.12
4013,87.5
4014,75.0
4015,32.0
4016,75.0
4017,75.0
4018,214.56
4019,25.0
4020,71.49
4021,96.03
4022,79.27
4023,75.0
4024,25.0
4025,18.75
4026,37.5
4027,75.0
4028,75.0
4029,308.82
4030,75.0
4031,55.26
4032,70.0
4033,37.5
4034,68.81
4035,75.0
4036,75.0
4037,24.67
4038,149.42
4039,36.5
4040,73.0
4041,36.5
4042,24.0
4043,72.0
4044,83.51
4045,112.9
4046,35.5
4047,18.8
4048,33.4
4049,70.0
4050,70.0
4051,35.0
4052,70.0
4053,70.0
4054,123.33
4055,43.29
4056,70.0
4057,27.0
4058,70.0
4059,23.33
4060,35.0
4061,70.0
4062,35.0
4063,35.0
4064,76.67
4065,35.0
4066,70.0
4067,23.33
4068,35.0
4069,35.0
4070,23.33
4071,23.33
4072,70.0
4073,70.0
4074,68.0
4075,160.5
4076,55.5
4077,30.5
4078,66.0
4079,45.86
4080,43.85
4081,36.5
4082,28.43
4083,134.38
4084,21.67
4085,32.5
4086,32.5
4087,65.0
4088,31.0
4089,65.0
4090,140.0
4091,34.55
4092,32.5
4093,78.33
4094,21.67
4095,21.67
4096,100.71
4097,21.67
4098,96.0
4099,32.5
4100,33.12
4101,29.5
4102,31.82
4103,32.0
